Return Request Sent Successfully,Permintaan Retur berhasil dikirim
Cut and Attach this form on the outside of the package,Gunting dan tempel form berikut di bagian luar paket
Order Number,No. Order
Required,Wajib diisi
Product Name,Nama Produk
Color,Warna
Size,Ukuran
Reason,Alasan
Name,Nama
Phone,Telepon
Address,Alamat
Receiver,Penerima
Refunds won't be processed if you don't fill this form.,Pengembalian dana tidak akan diproses apabila anda tidak mengisi form berikut
You can refund within 7 days (including holidays) since the goods are received.,Anda dapat mengajukan pengembalian dana dalam jangka waktu 7 hari (Termasuk hari libur) sejak paket diterima
Intimates products can't be returned.,Produk Intimates pakaian dalam tidak dapat dikembalikan
Items returned should be in an unused and not washed.,Produk yang dikembalikan harus belum pernah dipakai atau dicuci
Item must be in the same condition as when you received the goods.,Produk yang dikembalikan harus dalam kondisi yang sama seperti ketika diterima
complete with price tag and receipt,lengkap dengan tag harga dan struk
